SKIVE,remove the surface of
GRAMA,pasture grass of plains of South America and western North America
CREEL,a wicker basket used by anglers to hold fish
TRIPE,lining of the stomach of a ruminant (especially a bovine) used as food
RELIC,an antiquity that has survived from the distant past
GRIPE,informal terms for objecting
SNOWY,marked by the presence of snow
THROE,severe spasm of pain
YEARN,have affection for; feel tenderness for
WREAK,cause to happen or to occur as a consequence
SWOON,a spontaneous loss of consciousness caused by insufficient blood to the brain
DINGY,depressing in character or appearance
WAKEN,cause to become awake or conscious
SLAKE,make less active or intense
SPURT,the occurrence of a sudden discharge (as of liquid)
FORGO,refrain from consuming
SHOAL,a stretch of shallow water
SPURN,reject with contempt
BONNY,very pleasing to the eye
FENNY,[No defintion found.]
ANELE,administer an oil or ointment to ; often in a religious ceremony of blessing
COVET,"wish, long, or crave for (something, especially the property of another person)"
WORDY,use of more words than required to express an idea
THORP,[No defintion found.]
OAKUM,loose hemp or jute fiber obtained by unravelling old ropes; when impregnated with tar it was used to caulk seams and pack joints in wooden ships
BALAS,a pale rose-colored variety of the ruby spinel
OGDEN,a town in northern Utah settled by Mormons
STOKE,stir up or tend; of a fire
BARMY,informal or slang terms for mentally irregular
THULE,the geographical region believed by ancient geographers to be the northernmost land in the inhabited world
WHELP,young of any of various canines such as a dog or wolf
MAUND,a unit of weight used in Asia; has different values in different countries
INPUT,signal going into an electronic system
SPALL,a fragment broken off from the edge or face of stone or ore and having at least one thin edge
QUERN,a primitive stone mill for grinding corn by hand
COMBE,[No defintion found.]
CYNIC,someone who is critical of the motives of others
WROTH,vehemently incensed and condemnatory
TROTH,a solemn pledge of fidelity
RUDDY,inclined to a healthy reddish color often associated with outdoor life
SOUSE,pork trimmings chopped and pickled and jelled
WODEN,chief god; counterpart of Norse Odin and Teutonic Wotan
SPLAY,an outward bevel around a door or window that makes it seem larger
EMEND,make improvements or corrections to
DIGHT,[No defintion found.]
INGOT,a block of metal that is cast in a particular shape for convenient handling
LUCRE,informal terms for money
BESOT,make dull or stupid or muddle with drunkenness or infatuation
NEWLY,very recently
EAGRE,a high wave (often dangerous) caused by tidal flow (as by colliding tidal currents or in a narrow estuary)
SPRAT,small fatty European fish; usually smoked or canned like sardines
LEPER,a pariah who is avoided by others
FLITE,[No defintion found.]
SLINK,walk stealthily
CHIRK,"make a shrill creaking, squeaking, or noise, as of a door, mouse, or bird"
DIZEN,dress up garishly and tastelessly
POULT,[No defintion found.]
TRYST,a date; usually with a member of the opposite sex
WOOER,a man who courts a woman
BEAMY,broad in the beam
GULCH,a narrow gorge with a stream running through it
ELGAR,British composer of choral and orchestral works including two symphonies as well as songs and chamber music and music for brass band (1857-1934)
MISDO,do wrongly or improperly
WEALD,an area of open or forested country
SPRIT,a light spar that crosses a fore-and-aft sail diagonally
FUROR,a sudden outburst (as of protest)
OUTGO,money paid out
WAXEN,made of or covered with wax
MILCH,giving milk; bred or suitable primarily for milk production
QUOIT,game equipment consisting of a ring of iron or circle of rope used in the game of quoits
MAZER,a large hardwood drinking bowl
FRORE,very cold
PRINK,dress very carefully and in a finicky manner
EMMET,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
VARIX,abnormally enlarged or twisted blood vessel or lymphatic vessel
SMOLT,[No defintion found.]
HAULM,stems of beans and peas and potatoes and grasses collectively as used for thatching and bedding
TILTH,the state of aggregation of soil and its condition for supporting plant growth
PURSY,breathing laboriously or convulsively
WAKER,a person who awakes
HOTLY,in a heated manner
DRAFF,[No defintion found.]
OFFAL,viscera and trimmings of a butchered animal often considered inedible by humans
QUEAN,[No defintion found.]
SIRUP,a thick sweet sticky liquid
BIRLE,cause a floating log to rotate by treading
WHELK,large carnivorous marine gastropods of coastal waters and intertidal regions having a strong snail-like shell
CRUSE,small jar; holds liquid (oil or water)
BUXOM,euphemisms for slightly fat
SHIDE,[No defintion found.]
SEDUM,any of various plants of the genus Sedum
KEMPT,(used of hair) neat and tidy
KNURL,[No defintion found.]
LOSEL,[No defintion found.]
OXLIP,Eurasian primrose with yellow flowers clustered in a one-sided umbel
STIRK,yearling heifer or bullock
OUZEL,common black European thrush
FROSH,[No defintion found.]
ORLOP,the fourth or lowest deck
BROCK,[No defintion found.]
WRACK,dried seaweed especially that cast ashore
LADLE,a spoon-shaped vessel with a long handle; used to transfer liquids
NAVEL,scar where the umbilical cord was attached
FEMME,[No defintion found.]
THOLE,a holder attached to the gunwale of a boat that holds the oar in place and acts as a fulcrum for rowing
HUSSY,a woman adulterer
PLEAT,any of various types of fold formed by doubling fabric back upon itself and then pressing or stitching into shape
NONCE,the present occasion
SOUGH,introduce into an environment
SCRUB,the act of cleaning a surface by rubbing it with a brush and soap and water
CHURL,a bad-tempered person
WREST,"obtain by seizing forcibly or violently, also metaphorically"
GRIST,grain intended to be or that has been ground
WHARF,a platform built out from the shore into the water and supported by piles; provides access to ships and boats
PRATE,idle or foolish and irrelevant talk
PEONY,any of numerous plants widely cultivated for their showy single or double red or pink or white flowers
FLACK,artillery designed to shoot upward at airplanes
WHOOP,a loud hooting cry of exultation or excitement
LOUSE,wingless usually flattened blood-sucking insect parasitic on warm-blooded animals
FELLY,rim (or part of the rim) into which spokes are inserted
PLEAD,appeal or request earnestly
SHEAF,a package of several things tied together for carrying or storing
GLEAN,"gather, as of natural products"
SHRED,a tiny or scarcely detectable amount
WONKY,inclined to shake as from weakness or defect
BEDEW,cover with drops of dew or as with dew
FLAIL,an implement consisting of handle with a free swinging stick at the end; used in manual threshing
DOWEL,a fastener that is inserted into holes in two adjacent pieces and holds them together
WIZEN,lean and wrinkled by shrinkage as from age or illness
THILL,one of two shafts extending from the body of a cart or carriage on either side of the animal that pulls it
TWILL,a cloth with parallel diagonal lines or ribs
DAUNT,cause to lose courage
SPEND,pay out
CHIDE,censure severely or angrily
SURGE,a sudden or abrupt strong increase
BURLY,muscular and heavily built
KEATS,Englishman and Romantic poet (1795-1821)
STUMP,(cricket) any of three upright wooden posts that form the wicket
DROSS,worthless material that should be removed
SHEER,cause to sheer
TAWNY,of a light brown to brownish orange color
GAVEL,a small mallet used by a presiding officer or a judge
SWOOP,a swift descent through the air
LOFTY,of imposing height; especially standing out above others
REFER,have to do with or be relevant to
STONY,showing unfeeling resistance to tender feelings
STINK,a distinctive odor that is offensively unpleasant
THRUM,a thrumming sound
SKEIN,coils of worsted yarn
BESOM,a broom made of twigs tied together on a long handle
WIELD,of power or authority
FLECK,a small fragment of something broken off from the whole
SPELT,hardy wheat grown mostly in Europe for livestock feed
ENACT,act out; represent or perform as if in a play
TRAVE,a horizontal beam that extends across something
FLANK,the side between ribs and hipbone
STILE,an upright that is a member in a door or window frame
ALOUD,using the voice; not silently
PARRY,a return punch (especially by a boxer)
FRITH,[No defintion found.]
STINT,an individuals prescribed share of work
SEIZE,affect
FORAY,an initial attempt (especially outside your usual areas of competence)
INLET,an arm off of a larger body of water (often between rocky headlands)
